"session_id","name","exotel_call_sid"
"498665c2-a9e5-41b3-8191-6dfd3a310054","Vishnu Vardhan","02dc4a72ee2222bb9abb383136871955"
"64a2ffca-664f-4bf0-a43c-6211207d66d5","Vishnu Vardhan",NULL
"ae14982c-b7b3-49d6-b730-bb54317fcc18","Adit Lal",NULL
"cf20324f-1780-43b7-9cf3-7a0fcecb579f","Vishnu Vardhan","4b8e43dd25389aaeb11cf64c26581955"
"a104203b-6f95-4290-895f-974c9dd7b51f","Vishnu Vardhan","04ccade9ad5d51a2c1e2e3f60cb21955"
"d5f594e1-9d2c-4351-8f70-606fb8876988","Vishnu Vardhan","52df350b40bd402920a412ef31461955"
"95fe8972-fde0-4ed2-9962-3cfe4d24d136","Vishnu Vardhan","e0b7c27aae624fde0a524c3b87e41955"
"c23e438d-2fea-48fc-925a-76ad49dd6923","Vishnu Vardhan","4beeea04aa0a63203fe141e02d4c1955"
"3d7ae2be-852e-4cbc-ab7e-b8e26fbbbece","Vishnu Vardhan","6dc042859df51c953401c1dca7931955"
"62ec7816-7d59-4a46-bc4c-ca2d520f8ff0","Vishnu Vardhan","d35fc97a61ce20c6db1c5cafdb721955"
"9e579cc0-9774-488d-963a-3136c896968d","Vishnu Vardhan","c6ade8bc3d8d5286ae146ce444821955"
"fc3acf00-9349-4b55-84f9-a333e7cd7ac6","Vishnu Vardhan","5e4b1c0d1c8e1bbac9e179f7cd8e1955"
"6f567aca-33d8-4ef6-9e10-eb29ab2daa3c","Vishnu Vardhan","e9e08db41837fbc471cbaf153dd01955"
"b4213671-4233-4c2d-857f-1d0d13e20065","Vishnu Vardhan",NULL
"8be61e33-8298-4cfc-bd8e-bfa5511191d6","Ayush ","dee9ce04d6d42ec68370efc835961955"
"273ebebf-4c01-41f2-aa13-57a2675ce058","Adit Lal",NULL
"40b41889-6d38-44f0-83cf-385b2f699c6c","Adit Lal",NULL
"4f0e57ba-bf85-4a89-bf83-6481a732c6e6","Adit Lal",NULL
"80c272c6-9427-45f9-bf71-8115a39581a4","Vishnu Vardhan","e92f17517692c553184ea521ee071955"
"0325a8f0-a057-4c29-8452-263b8498b476","Akhilesh","e4016c0cbc8dae031897dcc60c8b1955"
"02715ed2-11be-40c3-bcf2-f998855f9a3e","Vishnu Vardhan","a1816e80b7cf00f0e1eebff1c2361955"
"01c24ac6-9600-446c-9480-708fd24462c4","Akhilesh",NULL
"f87a42d5-e397-4e68-bf00-5ddc311fa697","Akhilesh","99d906de57b8d7b5997677ad05c71955"
"f8b527f3-4e02-40d1-8763-deea790ca7b8","Akhilesh","ad01e0cab0dfcd9058e12f35a7b01955"
"a72e94f1-9410-4a9f-a65a-1e4b273adce8","Akhilesh","3e88bcda3ac2299f17042a665a401955"
"d1f29bed-176b-4762-b6b9-bc19d4f94b49","Akhilesh",NULL
"17ed5745-b5e1-4c45-9be7-66087418ef09","Akhilesh","e06e9a5d33bc214c80b249f6e9001955"
"0fac5cc9-d41c-4302-a91c-031a28405df9","Adit Lal",NULL
"bd11b64f-c562-4755-a19a-4d65013c328e","Vishnu Vardhan","4a6ad3c20637eb3221c1f7f0c00e1955"
"1cb93f4e-82eb-4a2f-9504-0eda0d871347","Vishnu Vardhan",NULL
"c8570535-ae5a-42c0-84c5-f14cdd20c827","Akhilesh","96d28104c81ef318674bc00b60f21955"
"5ca01fde-7709-4474-b393-c4f0c36fe3be","Adit Lal",NULL
